gem-location-id,gem-phase-id,country/area,phase-name,project-name,project-name-in-local-language-/-script,other-name(s),capacity-(mw),status,start-year,retired-year,location-accuracy,owner,lat,lng,state/province,operator,installation-type,region,url,owner-name-in-local-language-/-script,operator-name-in-local-language-/-script
L100000913238,G100000916477,Croatia,--,Dazlina wind farm,,,35.0,pre-construction,2025,,approximate,Petrol Group,43.7965,15.6884,,,Onshore,Europe,https://www.gem.wiki/Dazlina_wind_farm,,
L100000919348,G100000923844,Croatia,--,Dubrovnik wind farm,,,392.0,cancelled,,,approximate,Blue H Technologies BV,42.583,17.5444,,,Offshore floating,Europe,https://www.gem.wiki/Dubrovnik_wind_farm,,
L100000911855,G100000914882,Croatia,--,Glunca wind farm,,,21.0,operating,2017,,exact,HSE Invest doo; Petrol Group,43.6399,16.0736,,,Onshore,Europe,https://www.gem.wiki/Glunca_wind_farm,,
L100000919349,G100000923845,Croatia,--,Gracac wind farm,,,50.0,pre-construction,,,approximate,,44.2902,15.8391,,Nordex,Onshore,Europe,https://www.gem.wiki/Gracac_wind_farm,,
L100000908976,G100000911706,Croatia,--,Jasenice wind farm,,,12.0,operating,2019,,exact,KI-KELAG International GmbH,44.2214,15.6638,,WPD Windmanager,Onshore,Europe,https://www.gem.wiki/Jasenice_wind_farm,,
L100000915248,G100000918873,Croatia,--,Jasenice Zensur wind farm,,,59.0,cancelled,,,approximate,CE Energy Holding AG; Zensur Zrmanja,44.2629,15.5833,,,Onshore,Europe,https://www.gem.wiki/Jasenice_Zensur_wind_farm,,
L100000913278,G100000916522,Croatia,--,Jelinak wind farm,,,30.0,operating,2013,,exact,Acciona Energía SAU,43.5539,16.1645,,Acciona Energía,Onshore,Europe,https://www.gem.wiki/Jelinak_wind_farm,,
L100000914351,G100000917788,Croatia,--,Kamensko-Vostane wind farm,,"Vostane-Kamensko Wind Farm, ST1-1-ST1-2 Wind Farm",42.0,operating,,,exact,Dalekovod dd,43.6319,16.8839,,,Onshore,Europe,https://www.gem.wiki/Kamensko-Vostane_wind_farm,,
L100000913702,G100000917033,Croatia,--,Katuni wind farm,,,34.0,operating,2017,,exact,WPD AG,43.4782,16.9057,,WPD Windmanager,Onshore,Europe,https://www.gem.wiki/Katuni_wind_farm,達德能源股份有限公司,
L100000907941,G100000910617,Croatia,--,Kom-Orjak-Greda wind farm,,Orjak Wind Farm,10.0,operating,2018,,exact,KELAG,43.4702,16.8157,,Vjetroelektrana Orjak,Onshore,Europe,https://www.gem.wiki/Kom-Orjak-Greda_wind_farm,,
L100000915795,G100000919528,Croatia,--,Konavle Wind Park,,,120.0,cancelled,,,approximate,Cannon Power Group,42.6123,18.3265,Dalmatia,,Onshore,Europe,https://www.gem.wiki/Konavle_Wind_Park,,
L100000915236,G100000918857,Croatia,--,Korlat wind farm,,,58.0,operating,2020,,exact,Hrvatska elektroprivreda dd,44.0893,15.5903,,Nordex,Onshore,Europe,https://www.gem.wiki/Korlat_wind_farm,,
L100000915858,G100000919599,Croatia,--,KRS-Padene wind farm,Krš-Pađene,Padjene Wind Farm,130.0,operating,2021,,exact,Lager Group,44.0649,16.1004,,,Onshore,Europe,https://www.gem.wiki/KRS-Padene_wind_farm,,
L100000919350,G100000923846,Croatia,--,Lički Medvjed wind farm,,VE Lički Medvjed,425.0,announced,2026,,approximate,Enercon; Green Trust,44.8746,15.2217,,,Onshore,Europe,https://www.gem.wiki/Lički_Medvjed_wind_farm,,
L100000919351,G100000923847,Croatia,--,Lišane Ostrovičke wind farm,,,220.0,shelved,,,approximate,Hrvatska elektroprivreda dd,43.9769,15.761,,,Onshore,Europe,https://www.gem.wiki/Lišane_Ostrovičke_wind_farm,,
L100000913310,G100000916560,Croatia,--,Ljubac wind farm,,,30.0,operating,2022,,exact,Petrol Group,44.0099,16.1558,Dalmatia,Petrol Group,Onshore,Europe,https://www.gem.wiki/Ljubac_wind_farm,,
L100000914801,G100000918312,Croatia,--,Lukovac wind farm,,,49.0,operating,,,exact,Enlight Renewable Energy,43.5382,16.9202,,,Onshore,Europe,https://www.gem.wiki/Lukovac_wind_farm,,
L100000909133,G100000917821,Croatia,1,Obrovac-Zelengrad wind farm,,,42.0,operating,2015,,exact,EnerCap Capital Partners; Crescent Capital Group LP,44.1571,15.669,,Vestas Wind Systems,Onshore,Europe,https://www.gem.wiki/Obrovac-Zelengrad_wind_farm,,
L100000909133,G100000911871,Croatia,2,Obrovac-Zelengrad wind farm,,,12.0,cancelled,,,approximate,EnerCap Capital Partners; Crescent Capital Group LP,44.1571,15.669,Dalmatia,,Onshore,Europe,https://www.gem.wiki/Obrovac-Zelengrad_wind_farm,,
L100000914382,G100000917822,Croatia,--,Ogorje wind farm,,,42.0,operating,2015,,exact,Achema Group,43.7177,16.5332,,,Onshore,Europe,https://www.gem.wiki/Ogorje_wind_farm,,
L100000913337,G100000916595,Croatia,--,Opor Wind Park,,,30.0,construction,2025,,approximate,Acciona Energía SAU,43.5121,16.8444,Dalmatia,,Onshore,Europe,https://www.gem.wiki/Opor_Wind_Park,,
L100000908080,G100000910768,Croatia,--,Orlice wind farm,,,10.0,operating,2009,,exact,WPD AG,43.6382,16.0223,,WPD Windmanager,Onshore,Europe,https://www.gem.wiki/Orlice_wind_farm,達德能源股份有限公司,
L100000910350,G100000913195,Croatia,--,Pometeno Brdo wind farm,,,15.0,operating,2012,,exact,Končar Group,43.6092,16.4749,,Končar Group,Onshore,Europe,https://www.gem.wiki/Pometeno_Brdo_wind_farm,,
L100000914004,G100000917378,Croatia,--,Ponikve wind farm,,,37.0,operating,2013,,exact,WPD AG,42.8623,17.606,,WPD Windmanager,Onshore,Europe,https://www.gem.wiki/Ponikve_wind_farm,達德能源股份有限公司,
L100000913728,G100000917062,Croatia,--,Rudine wind farm,,,34.0,operating,2016,,exact,Professio Energia dd,42.8237,17.799,,General Electric,Onshore,Europe,https://www.gem.wiki/Rudine_wind_farm,,
L100000915909,G100000919656,Croatia,--,Senj (Norinco) wind farm,,,156.0,operating,2021,,exact,Norinco International Cooperation Ltd,45.0367,15.0256,,Norinco International Cooperation,Onshore,Europe,https://www.gem.wiki/Senj_(Norinco)_wind_farm,,
L100000912520,G100000917840,Croatia,1,Senj (Wallenborn) wind farm,,"Vratarusa Wind Farm (Phase 1), Vratarusa Wind Farm 2 (Phase 2)",42.0,operating,2009,,exact,Wallenborn Bora GmbH,45.0456,14.9323,,Ereda,Onshore,Europe,https://www.gem.wiki/Senj_(Wallenborn)_wind_farm,,
L100000912520,G100000915641,Croatia,2,Senj (Wallenborn) wind farm,,"Vratarusa Wind Farm (Phase 1), Vratarusa Wind Farm 2 (Phase 2)",24.0,cancelled,,,approximate,Wallenborn Bora GmbH,45.0367,14.9153,,,Onshore,Europe,https://www.gem.wiki/Senj_(Wallenborn)_wind_farm,,
L100000910012,G100000912824,Croatia,--,Sibenik-Knin wind farm,,,14.0,operating,,,approximate,,43.9281,16.1038,Dalmatia,,Onshore,Europe,https://www.gem.wiki/Sibenik-Knin_wind_farm,,
L100000908534,G100000911239,Croatia,--,Trtar-Krtolin wind farm,,,11.0,operating,2006,,exact,WPD AG,43.7531,15.9677,,WPD Windmanager,Onshore,Europe,https://www.gem.wiki/Trtar-Krtolin_wind_farm,達德能源股份有限公司,
L100000919352,G100000923848,Croatia,--,Udbina wind farm,,,114.0,pre-construction,,,approximate,Libra Group,44.558,15.7954,,,Onshore,Europe,https://www.gem.wiki/Udbina_wind_farm,,
L100001000479,G100001000743,Croatia,1,Visoka wind farm,,,56.0,announced,,,approximate,ENCRO doo,43.7038,16.6396,,,Onshore,Europe,https://www.gem.wiki/Visoka_wind_farm,,
L100000915807,G100000919540,Croatia,--,Vucipolje wind farm,,,120.0,shelved,,,approximate,Tekol-Teri doo; WPD,44.2978,15.8517,,,Onshore,Europe,https://www.gem.wiki/Vucipolje_wind_farm,,
L100000919353,G100000923849,Croatia,--,Zadar (Kunovac) wind farm,,,111.0,construction,,,approximate,ENCRO doo; Taaleri Energia,44.1276,15.2391,,,Onshore,Europe,https://www.gem.wiki/Zadar_(Kunovac)_wind_farm,,
L100000914495,G100000917955,Croatia,6,Zadar 6 wind farm,,,44.0,operating,2017,,exact,Postak doo,44.2659,16.0519,,Porzana-ENCRO,Onshore,Europe,https://www.gem.wiki/Zadar_6_wind_farm,,
L100000911293,G100000914254,Croatia,2,Zadar wind farm,,"Bruska Wind Farm, VE ZD2 Wind Farm (Phase 2), VE ZD3 Wind Farm (Phase 3)",18.0,operating,2012,,exact,EKO; Dalekovod dd,44.1079,15.7126,,,Onshore,Europe,https://www.gem.wiki/Zadar_wind_farm,,
L100000911293,G100000914255,Croatia,3,Zadar wind farm,,"Bruska Wind Farm, VE ZD2 Wind Farm (Phase 2), VE ZD3 Wind Farm (Phase 3)",18.0,operating,2012,,exact,EKO; Dalekovod dd,44.0686,15.7809,,,Onshore,Europe,https://www.gem.wiki/Zadar_wind_farm,,
L100000919354,G100000923850,Croatia,--,Zelovo wind farm,,,30.0,shelved,,,approximate,Hrvatska elektroprivreda dd,43.7543,16.5398,,,Onshore,Europe,https://www.gem.wiki/Zelovo_wind_farm,,
L100000905579,G100000907662,Cuba,1,Banes wind farm,Parque Eólico Banes,,30.0,cancelled,,,approximate,,20.9622,-75.7221,Holguín,,Onshore,Americas,https://www.gem.wiki/Banes_wind_farm,,
L100000905579,G100000907663,Cuba,2,Banes wind farm,Parque Eólico Banes,,30.0,cancelled,,,approximate,,20.9622,-75.7221,Holguín,,Onshore,Americas,https://www.gem.wiki/Banes_wind_farm,,
L100000905579,G100000907664,Cuba,3,Banes wind farm,Parque Eólico Banes,,30.0,cancelled,,,approximate,,20.9622,-75.7221,Holguín,,Onshore,Americas,https://www.gem.wiki/Banes_wind_farm,,
L100000905580,G100000907665,Cuba,--,Cabo Lucrecia wind farm,Parque Eólico Cabo Lucrecia,,50.0,shelved,,,approximate,,21.0066,-75.6005,Holguín,,Onshore,Americas,https://www.gem.wiki/Cabo_Lucrecia_wind_farm,,
L100000905581,G100000907666,Cuba,--,Camaguey wind farm,Parque Eólico Camaguey,,30.0,cancelled,,,approximate,,21.3722,-77.9119,Camaguey,,Onshore,Americas,https://www.gem.wiki/Camaguey_wind_farm,,
L100000905536,G100000907613,Cuba,3,Gibara wind farm,Parque Eólico Gibara,,50.0,announced,,,exact,ZAFIRO Technologies Spain SL,21.1194,-76.1374,Holguín,ZAFIRO Technologies Spain,Onshore,Americas,https://www.gem.wiki/Gibara_wind_farm,,
L100000916583,G100000920607,Cuba,1,Jiguey wind farm,Parque Eólico Jiguey,,51.0,shelved,,,approximate,Union Electrica de Cuba,21.9119,-77.9363,Camagüey,Union Electrica de Cuba,Onshore,Americas,https://www.gem.wiki/Jiguey_wind_farm,,
L100000905174,G100000906735,Cuba,1,La Herradura wind farm,Parque Eólico La Herradura,,51.0,construction,,,exact,Union Electrica de Cuba,21.2681,-76.3998,Las Tunas,,Onshore,Americas,https://www.gem.wiki/La_Herradura_wind_farm,,
L100000905174,G100000906736,Cuba,2,La Herradura wind farm,Parque Eólico La Herradura,,50.0,construction,,,exact,Union Electrica de Cuba,21.2359,-76.3222,Las Tunas,,Onshore,Americas,https://www.gem.wiki/La_Herradura_wind_farm,,
L100000905174,G100000906737,Cuba,3,La Herradura wind farm,Parque Eólico La Herradura,,30.0,pre-construction,,,approximate,Empresa Desarrolladora de Inversiones para Fuentes Renovables de Ener­gía,21.1698,-76.5031,Las Tunas,Empresa Desarrolladora de Inversiones para Fuentes Renovables de Ener­gía,Onshore,Americas,https://www.gem.wiki/La_Herradura_wind_farm,,
L100000905175,G100000906738,Cuba,--,Los Jagüeyes wind farm,Parque Eólico Los Jagüeyes,,35.0,pre-construction,,,approximate,Empresa Desarrolladora de Inversiones para Fuentes Renovables de Ener­gía,21.0887,-75.8587,Holguín,Empresa Desarrolladora de Inversiones para Fuentes Renovables de Ener­gía,Onshore,Americas,https://www.gem.wiki/Los_Jagüeyes_wind_farm,,
L100000905000,G100000906204,Cuba,--,Manatí wind farm,Parque Eólico Manatí,,122.0,announced,,,approximate,Baranca Stream,21.2425,-76.8913,Las Tunas,Baranca Stream,Onshore,Americas,https://www.gem.wiki/Manatí_wind_farm,,
L100000916585,G100000920609,Cuba,--,Nuevas Grandes wind farm,Parque Eólico Nuevas Grandes,,51.0,shelved,,,approximate,Union Electrica de Cuba,21.4459,-76.969,Camagüey,,Onshore,Americas,https://www.gem.wiki/Nuevas_Grandes_wind_farm,,
L100000905176,G100000906739,Cuba,--,Playa Piloto wind farm,Parque Eólico Playa Piloto,,40.0,cancelled,,,approximate,Empresa Desarrolladora de Inversiones para Fuentes Renovables de Ener­gía,21.7641,-77.6787,Camaguey,Empresa Desarrolladora de Inversiones para Fuentes Renovables de Ener­gía,Onshore,Americas,https://www.gem.wiki/Playa_Piloto_wind_farm,,
L100000905582,G100000907667,Cuba,--,Punta De Mulas wind farm,Parque Eólico Punta de Mulas,,50.0,shelved,,,approximate,,20.9553,-75.6335,Holguín,,Onshore,Americas,https://www.gem.wiki/Punta_De_Mulas_wind_farm,,
L100000905583,G100000907668,Cuba,1,Punta Fraile wind farm,Parque Eólico Punta Fraile,Maisí wind farm,52.0,shelved,,,approximate,,20.1823,-74.1545,Guantánamo,,Onshore,Americas,https://www.gem.wiki/Punta_Fraile_wind_farm,,
L100000905583,G100000907669,Cuba,2,Punta Fraile wind farm,Parque Eólico Punta Fraile,Maisí wind farm,35.0,shelved,,,approximate,,20.1441,-74.2318,Guantánamo,,Onshore,Americas,https://www.gem.wiki/Punta_Fraile_wind_farm,,
L100000905584,G100000907670,Cuba,1,Punta Quemado wind farm,Parque Eólico Quemado,Maisí wind farm,52.0,shelved,,,approximate,,20.289,-74.2026,Guantánamo,,Onshore,Americas,https://www.gem.wiki/Punta_Quemado_wind_farm,,
L100000905584,G100000907671,Cuba,2,Punta Quemado wind farm,Parque Eólico Quemado,Maisí wind farm,35.0,shelved,,,approximate,,20.2653,-74.1798,Guantánamo,,Onshore,Americas,https://www.gem.wiki/Punta_Quemado_wind_farm,,
L100000905177,G100000906740,Cuba,1,Rio Seco wind farm,Parque Eólico Rio Seco,Tunas wind farm,50.0,construction,2025,,approximate,Empresa Desarrolladora de Inversiones para Fuentes Renovables de Ener­gía,21.1153,-75.7618,Holguín,Empresa Desarrolladora de Inversiones para Fuentes Renovables de Ener­gía,Onshore,Americas,https://www.gem.wiki/Rio_Seco_wind_farm,,
L100000905177,G100000907672,Cuba,2,Rio Seco wind farm,Parque Eólico Rio Seco,Tunas wind farm,96.0,announced,,,approximate,,21.0789,-75.6886,Holguín,,Onshore,Americas,https://www.gem.wiki/Rio_Seco_wind_farm,,
L100000916586,G100000920610,Cuba,--,Turiguanó Norte wind farm,Parque Eólico Turiguanó Norte,,51.0,shelved,,,approximate,,22.2658,-78.6199,Ciego de Avila,,Onshore,Americas,https://www.gem.wiki/Turiguanó_Norte_wind_farm,,
L100001016476,G100001018310,Curaçao,1,NuKoraal Tabak wind farm,,,22.5,construction,,,exact,Aspiravi,12.1494,-68.8172,Labadera,,Onshore,Americas,https://www.gem.wiki/NuKoraal_Tabak_wind_farm,,
L100000905596,G100000907685,Curaçao,2,Playa Kanoa wind farm,Parque Eólico Playa Kanoa,Playa Canoa wind farm,15.0,operating,2012,,approximate,NuCapital Inc,12.1749,-68.8662,,NuCapital,Onshore,Americas,https://www.gem.wiki/Playa_Kanoa_wind_farm,,
L100000905597,G100000907686,Curaçao,2,Tera Kórá wind farm,Parque Eólico Tera Kórá,"B.V. (Phase 3), NuCuraçao Windparken II (Phase 3), Tera Cora wind farm",15.0,operating,2012,,approximate,NuCapital Inc; Aspiravi,12.2315,-69.0207,,NuCapital,Onshore,Americas,https://www.gem.wiki/Tera_Kórá_wind_farm,,
L100000905597,G100000907688,Curaçao,3,Tera Kórá wind farm,Parque Eólico Tera Kórá,"B.V. (Phase 3), NuCuraçao Windparken II (Phase 3), Tera Cora wind farm",17.0,operating,2017,,approximate,NuCapital Inc; Aspiravi,12.2315,-69.0207,,NuCapital,Onshore,Americas,https://www.gem.wiki/Tera_Kórá_wind_farm,,
L100000908355,G100000911052,Cyprus,--,Aeolian-Dynamics Wind Park,,"Agia Anna, Ayia Anna",11.0,operating,2015,,exact,Aeolian Dynamics Ltd,34.9278,33.483,,Aeolian Dynamics,Onshore,Asia,https://www.gem.wiki/Aeolian-Dynamics_Wind_Park,,
L100000911470,G100000914450,Cyprus,--,Agia Anna wind farm,,,20.0,operating,2011,,exact,Iberdrola SA,34.9724,33.4997,,Rokas Aeoliki Cyprus,Onshore,Asia,https://www.gem.wiki/Agia_Anna_wind_farm,,
L100000915116,G100000918715,Cyprus,--,Agios Theodoros wind farm,,,51.0,cancelled,,,approximate,,34.7944,33.3952,Larnaca,KE Aerodynamics,Onshore,Asia,https://www.gem.wiki/Agios_Theodoros_wind_farm,,
L100000913463,G100000916744,Cyprus,--,Alexigros wind farm,,,32.0,operating,2011,,exact,Ketonis Developments Ltd,34.8694,33.5168,,Wincono Cyprus,Onshore,Asia,https://www.gem.wiki/Alexigros_wind_farm,,
L100000910740,G100000913633,Cyprus,--,Kellia wind farm,,,16.0,construction,2025,,exact,Kel Sorokos Wind Farm Ltd,34.9756,33.6222,South Cyprus,Wincono Cyprus,Onshore,Asia,https://www.gem.wiki/Kellia_wind_farm,,
L100000911772,G100000914794,Cyprus,--,Kivisili wind farm,,,21.0,cancelled,,,approximate,,34.8399,33.5051,Larnaca,Rokas Aeoliki Cyprus,Onshore,Asia,https://www.gem.wiki/Kivisili_wind_farm,,
